City,State1,State2,State3,Code
Bloomington,IL,,,BLOO017URN
Champaign-Urbana,IL,,,CHAM517URN
St. Louis,MO,IL,,STLURN
Chicago-Naperville-Elgin,IL,IN,WI,CHIC917URN
Danville,IL,,,DANV117URN
Davenport-Moline-Rock Island,IA,IL,,DAVE317URN
Decatur,IL,,,DECA517URN
Kankakee,IL,,,KANK117URN
Peoria,IL,,,PEOR917URN
Rockford,IL,,,ROCK417URN
Springfield,IL,,,SPRI117URN
