Begin_Date,Begin_Month,Begin_Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
10/3/1999,Oct,1999,Wildfire,0,0,CA,1
10/8/1999,Oct,1999,Wildfire,0,210000,CA,1
10/15/1999,Oct,1999,Wildfire,0,0,CA,1
10/16/1999,Oct,1999,Wildfire,0,480000,CA,1
10/16/1999,Oct,1999,Wildfire,0,22200000,CA,1
10/16/1999,Oct,1999,Wildfire,0,0,CA,1
10/17/1999,Oct,1999,Wildfire,0,3500000,CA,1
10/17/1999,Oct,1999,Wildfire,0,0,CA,1
10/17/1999,Oct,1999,Wildfire,0,0,CA,1
10/17/1999,Oct,1999,Wildfire,0,50000,CA,1
10/17/1999,Oct,1999,Wildfire,0,0,CA,1
10/17/1999,Oct,1999,Wildfire,0,550000,CA,1
10/20/1999,Oct,1999,Wildfire,0,0,CA,1
10/22/1999,Oct,1999,Wildfire,0,0,CA,1
10/26/1999,Oct,1999,Wildfire,0,0,CA,1
10/29/1999,Oct,1999,Wildfire,0,0,CA,1
11/14/1999,Nov,1999,Wildfire,0,0,CA,1
11/23/1999,Nov,1999,Wildfire,0,0,CA,1
12/4/1999,Dec,1999,Wildfire,0,0,CA,1
12/21/1999,Dec,1999,Wildfire,0,0,CA,1
12/21/1999,Dec,1999,Wildfire,0,0,CA,1
12/21/1999,Dec,1999,Wildfire,0,0,CA,1
12/22/1999,Dec,1999,Wildfire,0,0,CA,1
12/27/1999,Dec,1999,Wildfire,0,0,CA,1
12/27/1999,Dec,1999,Wildfire,0,0,CA,1
1/6/2000,Jan,2000,Wildfire,0,0,CA,1
2/2/2000,Feb,2000,Wildfire,0,30000,CA,1
6/4/2000,Jun,2000,Wildfire,0,0,CA,1
7/20/2000,Jul,2000,Wildfire,1,0,CA,1
7/22/2000,Jul,2000,Wildfire,0,0,CA,1
7/22/2000,Jul,2000,Wildfire,0,0,CA,1
7/22/2000,Jul,2000,Wildfire,0,490000,CA,1
7/22/2000,Jul,2000,Wildfire,0,0,CA,1
7/27/2000,Jul,2000,Wildfire,0,0,CA,1
7/29/2000,Jul,2000,Wildfire,0,0,CA,1
7/31/2000,Jul,2000,Wildfire,0,0,CA,1
7/31/2000,Jul,2000,Wildfire,0,0,CA,1
8/1/2000,Aug,2000,Wildfire,0,0,CA,1
8/1/2000,Aug,2000,Wildfire,0,0,CA,1
8/2/2000,Aug,2000,Wildfire,0,40000,CA,1
8/13/2000,Aug,2000,Wildfire,0,78200,CA,1
8/15/2000,Aug,2000,Wildfire,0,500000,CA,1
8/22/2000,Aug,2000,Wildfire,0,0,CA,1
9/1/2000,Sep,2000,Wildfire,0,100000,CA,1
9/8/2000,Sep,2000,Wildfire,0,22700000,CA,1
9/11/2000,Sep,2000,Wildfire,0,0,CA,1
9/13/2000,Sep,2000,Wildfire,0,0,CA,1
9/18/2000,Sep,2000,Wildfire,0,662000,CA,1
9/21/2000,Sep,2000,Wildfire,0,1900000,CA,1
9/29/2000,Sep,2000,Wildfire,0,425000,CA,1
10/1/2000,Oct,2000,Wildfire,0,547000000,CA,1
10/1/2000,Oct,2000,Wildfire,0,547000,CA,1
12/18/2000,Dec,2000,Wildfire,0,30000,CA,1
12/25/2000,Dec,2000,Wildfire,0,0,CA,1
12/26/2000,Dec,2000,Wildfire,0,0,CA,1
12/26/2000,Dec,2000,Wildfire,0,0,CA,1
12/26/2000,Dec,2000,Wildfire,0,0,CA,1
1/3/2001,Jan,2001,Wildfire,0,0,CA,1
1/3/2001,Jan,2001,Wildfire,0,10000000,CA,1
1/3/2001,Jan,2001,Wildfire,0,0,CA,1
1/3/2001,Jan,2001,Wildfire,0,0,CA,1
1/3/2001,Jan,2001,Wildfire,0,0,CA,1
5/11/2001,May,2001,Wildfire,0,0,CA,1
6/13/2001,Jun,2001,Wildfire,0,0,CA,1
6/13/2001,Jun,2001,Wildfire,0,0,CA,1
6/14/2001,Jun,2001,Wildfire,0,0,CA,1
6/14/2001,Jun,2001,Wildfire,0,150000,CA,1
6/15/2001,Jun,2001,Wildfire,0,0,CA,1
6/16/2001,Jun,2001,Wildfire,0,0,CA,1
6/17/2001,Jun,2001,Wildfire,0,0,CA,1
6/17/2001,Jun,2001,Wildfire,0,0,CA,1
6/17/2001,Jun,2001,Wildfire,0,0,CA,1
6/17/2001,Jun,2001,Wildfire,0,0,CA,1
6/19/2001,Jun,2001,Wildfire,0,0,CA,1
