,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
1243,10/1/1999,Oct,1999,Wildfire,0,0,California,1
1244,10/1/1999,Oct,1999,Wildfire,0,0,California,1
1245,10/1/1999,Oct,1999,Wildfire,1,0,California,1
1246,10/1/1999,Oct,1999,Wildfire,0,250000,California,1
1247,10/1/1999,Oct,1999,Wildfire,0,13300000,California,1
1248,10/1/1999,Oct,1999,Wildfire,0,0,California,1
1249,10/3/1999,Oct,1999,Wildfire,0,0,California,1
1250,10/8/1999,Oct,1999,Wildfire,0,210000,California,1
1251,10/15/1999,Oct,1999,Wildfire,0,0,California,1
1252,10/16/1999,Oct,1999,Wildfire,0,480000,California,1
1253,10/16/1999,Oct,1999,Wildfire,0,22200000,California,1
1254,10/16/1999,Oct,1999,Wildfire,0,0,California,1
1255,10/17/1999,Oct,1999,Wildfire,0,3500000,California,1
1256,10/17/1999,Oct,1999,Wildfire,0,0,California,1
1257,10/17/1999,Oct,1999,Wildfire,0,0,California,1
1258,10/17/1999,Oct,1999,Wildfire,0,50000,California,1
1259,10/17/1999,Oct,1999,Wildfire,0,0,California,1
1260,10/17/1999,Oct,1999,Wildfire,0,550000,California,1
1261,10/20/1999,Oct,1999,Wildfire,0,0,California,1
1262,10/22/1999,Oct,1999,Wildfire,0,0,California,1
1263,10/26/1999,Oct,1999,Wildfire,0,0,California,1
1264,10/29/1999,Oct,1999,Wildfire,0,0,California,1
1265,11/14/1999,Nov,1999,Wildfire,0,0,California,1
1266,11/23/1999,Nov,1999,Wildfire,0,0,California,1
1267,12/4/1999,Dec,1999,Wildfire,0,0,California,1
1268,12/21/1999,Dec,1999,Wildfire,0,0,California,1
1269,12/21/1999,Dec,1999,Wildfire,0,0,California,1
1270,12/21/1999,Dec,1999,Wildfire,0,0,California,1
1271,12/22/1999,Dec,1999,Wildfire,0,0,California,1
1272,12/27/1999,Dec,1999,Wildfire,0,0,California,1
1273,12/27/1999,Dec,1999,Wildfire,0,0,California,1
1274,1/6/2000,Jan,2000,Wildfire,0,0,California,1
1275,2/2/2000,Feb,2000,Wildfire,0,30000,California,1
1276,6/4/2000,Jun,2000,Wildfire,0,0,California,1
1277,7/20/2000,Jul,2000,Wildfire,1,0,California,1
1278,7/22/2000,Jul,2000,Wildfire,0,0,California,1
1279,7/22/2000,Jul,2000,Wildfire,0,0,California,1
1280,7/22/2000,Jul,2000,Wildfire,0,490000,California,1
1281,7/22/2000,Jul,2000,Wildfire,0,0,California,1
